year,target
5282,-13.838900023088375
5283,-17.75941322054546
5284,-20.27211996325239
5285,-20.32888626898478
5286,-21.01510166009177
5287,-18.290088762188432
5288,-21.65556553347432
5289,-18.82526251242174
5290,-20.440279231893616
5291,-21.018672918645557
5292,-21.316544326861155
5293,-19.92820225001789
5294,-18.69403311534125
5295,-11.96430659101743
5296,-10.395087780827776
5297,-11.00177552608674
5298,-10.179548298254911
5299,-8.744095713152163
5300,-7.947881275141985
5301,-12.588578674346783
5302,-5.495882512351935
5303,-2.798678408496481
5304,-4.548856268309003
5305,-8.468095059468572
5306,-10.200027996710418
5307,-12.332941874619099
5308,-13.953476714524744
5309,-14.949165161085565
5310,-16.757568778271278
5311,-17.485235600107888
5312,-20.503174941406336
5313,-20.796832753045
5314,-22.57939629039648
5315,-22.455826538896655
5316,-22.57677414846865
5317,-21.997342304293788
5318,-22.276872732306703
5319,-21.27729303803644
5320,-18.144076994672098
5321,-19.09786420898042
5322,-11.821630289437438
5323,-11.965311751172816
5324,-11.443228431376978
5325,-13.418553176987718
5326,-10.35947628508329
5327,-11.172053998872876
5328,-10.920941158151816
5329,-11.434470254784248
5330,-12.58966884449591
5331,-15.907971469754902
5332,-16.863941685376737
5333,-17.9622679758647
5334,-13.297967798801093
5335,-11.068709460129812
5336,-10.604163301350454
5337,-11.337515100202099
5338,-14.009049334516941
5339,-15.300690089022869
5340,-13.23199286754641
5341,-10.165348599965666
5342,-8.049180907798448
5343,-9.095781518623326
5344,-9.633771859687968
5345,-9.639990600462891
5346,-10.594123785229243
5347,-9.468624361633173
5348,-8.546900654861016
5349,-7.538190829866741
5350,-6.407806031503412
5351,-5.425691929450716
5352,-6.147959090549778
5353,-7.960087692130459
5354,-9.1074648333401
5355,-10.905375001161078
5356,-10.91485603672048
5357,-12.558626204734628
5358,-15.795090299800492
5359,-17.953908004367772
5360,-20.011138772056775
5361,-20.312401632680313
5362,-20.16991991563722
5363,-19.643326977278033
5364,-19.885151213501167
5365,-20.349125448692586
5366,-20.86495447138612
5367,-21.856545496367374
5368,-20.136616728997474
5369,-18.34897121278417
5370,-16.20984888784983
5371,-17.818790931983465
5372,-13.144961341907347
5373,-11.850009789130533
5374,-11.01468912442119
5375,-11.055143182872495
5376,-10.997010870290152
5377,-12.36865002644351
5378,-16.459363428566117
5379,-18.158233694077857
5380,-19.396928265984847
5381,-19.285632152085007
5382,-19.727072501845946
5383,-18.904684533364076
5384,-18.556237604357484
5385,-18.821812974855025
5386,-18.661426342078606
5387,-19.000505321500697
5388,-21.799003457625084
5389,-20.740926224067504
5390,-18.005369442254725
5391,-16.624445702296676
5392,-11.980544842066523
5393,-16.19789817239557
5394,-18.93458656384156
5395,-18.973667705986745
5396,-18.173008130472514
5397,-17.563972295798106
5398,-16.852293270391982
5399,-16.16289755644687
5400,-12.013071428728743
5401,-11.717253488870556
5402,-11.31894181007765
5403,-13.33384811589355
5404,-15.191559192284611
5405,-17.513352530074435
5406,-19.637624409035656
5407,-17.40633281100711
5408,-14.362772835609714
5409,-15.948058671907356
5410,-18.190529285027022
5411,-16.836471002718213
5412,-17.386280959447543
5413,-17.222164565220545
5414,-17.312067851980792
5415,-16.24206144831117
5416,-15.492098481442545
5417,-14.549623485590569
5418,-11.917334187752612
5419,-10.91760959540441
5420,-17.346749815461244
5421,-18.646785938056045
5422,-11.584967813647673
5423,-8.108592369672955
5424,-8.533887956331402
5425,-9.83111922743098
5426,-11.111025869411161
5427,-11.12609045288483
5428,-13.04082783120514
5429,-15.268333594862415
5430,-17.089474602095272
5431,-14.249713447602588
5432,-13.463671349862329
5433,-14.384908853730192
5434,-14.851149170682998
5435,-15.22915082324269
5436,-16.973815625344756
5437,-17.864758625092445
5438,-16.929710018064565
5439,-15.572674255990439
5440,-12.563377765368372
5441,-12.48636986687232
5442,-10.681559152300348
5443,-10.726880275359216
5444,-10.843984527844919
5445,-10.938549865879095
5446,-10.352923606793826
5447,-9.084051366142898
5448,-7.567667164305517
5449,-8.889099581520616
5450,-9.69382021835366
5451,-11.462256946395765
5452,-15.683485969576807
5453,-17.600192329378643
5454,-19.440952515591512
5455,-21.227755311872755
5456,-20.844706549295946
5457,-21.018019501996154
5458,-22.097010974388567
5459,-23.414629409138026
5460,-22.450113407440433
5461,-19.89720567910006
5462,-19.64898838227089
5463,-19.476363028420746
5464,-18.730228222561013
5465,-18.430366566317637
5466,-17.375442200539972
5467,-15.028385640628375
5468,-12.937095852811932
5469,-12.344815627750808
5470,-11.924561460729578
5471,-10.9910539177832
5472,-11.150894154678845
5473,-11.960586437767597
5474,-13.191474188879075
5475,-14.9714009711381
5476,-20.158323255773663
5477,-23.0309440129387
5478,-21.574592719122837
5479,-12.203646221378563
5480,-11.237324379411557
5481,-14.86107389612458
5482,-18.97717024706529
5483,-12.402552432726077
5484,-14.504746525853307
5485,-17.546914456789473
5486,-16.921122201537447
5487,-12.722588099775534
5488,-10.808257954735996
5489,-10.503226179538013
5490,-10.721977570117387
5491,-10.954905027273051
5492,-10.525999015329434
5493,-10.701255868909332
5494,-9.524394896683885
5495,-8.077802420387249
5496,-7.507251610507511
5497,-7.51278000846132
5498,-6.597742796184583
5499,-8.231995083314994
5500,-10.96283621020696
5501,-10.383676793189005
5502,-11.13109746024249
5503,-10.538928721465485
5504,-10.512952765974472
5505,-10.223909228697053
5506,-10.284302214598359
5507,-12.33092277320141
5508,-14.119730060438192
5509,-15.356820406521695
5510,-13.949639588144233
5511,-10.744816925794106
5512,-11.215590957132594
5513,-10.80934932256127
5514,-10.336780264699522
5515,-8.614888459887823
5516,-6.85899035998879
5517,-6.247593188216859
5518,-5.709878788337867
5519,-4.549461558131069
5520,-3.2684236019423105
5521,-5.089166547281904
5522,-10.578073205462129
5523,-12.768993306106509
5524,-14.737196399666766
5525,-16.30168018358878
5526,-19.18866796947908
5527,-19.545438719046963
5528,-21.20289319397366
5529,-22.020590523242305
5530,-22.30623591049919
5531,-22.428684916598534
5532,-22.861878832458824
5533,-20.72928269875549
5534,-19.274764158080558
5535,-18.818076774525487
5536,-17.199416562867192
5537,-17.176038640291146
5538,-14.25868414062953
5539,-11.991658278946694
5540,-13.182988745190354
5541,-14.104617422757176
5542,-11.56912818204276
5543,-10.614943615346158
5544,-10.91973836615955
5545,-10.64491789673913
5546,-11.60620361529432
5547,-14.868992520782072
5548,-18.297757516112554
5549,-20.90420126006127
5550,-21.98552296162643
5551,-22.489517586464274
5552,-24.088354383728664
5553,-23.947504392573688
5554,-23.490329135881954
5555,-23.507519353268332
5556,-22.922617384668648
5557,-23.22484512247778
5558,-22.04390128321678
5559,-22.45745608987675
5560,-22.030390215960264
5561,-22.745083656856302
5562,-21.480256477200435
5563,-19.788147806764776
5564,-18.679283219803416
5565,-18.056651588716615
5566,-17.030338341636877
5567,-15.339328171401487
5568,-15.708337739429655
5569,-14.652681465338787
5570,-14.60229525672868
5571,-14.80552848098234
5572,-14.782452236076693
5573,-16.160524408060546
5574,-15.746282716228908
5575,-19.257326921663054
5576,-21.921508094449692
5577,-22.332573812021586
5578,-22.46897423809939
5579,-21.50822128704376
5580,-19.858012456055373
5581,-14.860137033632327
5582,-13.582159154144112
5583,-13.001881353737096
5584,-11.583928877728162
5585,-11.663210260145425
5586,-12.334886179407006
5587,-12.858909024671263
5588,-11.79137388727092
5589,-10.619659618451468
5590,-10.71109468761206
5591,-10.82207409091946
5592,-11.100466797156617
5593,-10.737434534150479
5594,-10.990504830853482
5595,-11.099868914293603
5596,-10.33127815419307
5597,-8.103740979028334
5598,-8.03505424895163
5599,-6.880600302833559
5600,-8.286526278838728
5601,-9.609218427643771
5602,-8.648840144810457
5603,-9.091203399413832
5604,-9.655623639956799
5605,-8.79865132227674
5606,-7.4242872108582585
5607,-6.063243387088494
5608,-6.303161699966158
5609,-6.371651723022504
5610,-5.839997821772771
5611,-5.795064319283453
5612,-6.614930375414559
5613,-6.783005787430595
5614,-7.162755755532882
5615,-6.679778914482457
5616,-6.661690479438488
5617,-6.501179830549438
5618,-6.549767791717902
5619,-6.36713251594845
5620,-6.197014964639153
5621,-6.414991833786841
5622,-6.0806411936902185
5623,-5.642015888162047
5624,-5.666972590854346
5625,-5.155171126692447
5626,-5.5816252886870235
5627,-4.949402617231772
5628,-5.497101274612626
5629,-5.333170046457845
5630,-6.808666489698969
5631,-7.287080451775199
5632,-7.8161918192081545
5633,-6.170165367159052
5634,-5.769413051025789
5635,-5.4178750885594145
5636,-5.970869382044006
5637,-6.349301320885088
5638,-6.637583229348282
5639,-6.697703733463823
5640,-6.142625487593883
5641,-7.815804084164059
5642,-9.479888001905348
5643,-10.594623627409621
5644,-11.007014554203845
5645,-12.298295414025237
5646,-13.672399772725672
5647,-16.339099227077128
5648,-17.57103556524201
5649,-19.028752845437445
5650,-18.578234745511203
5651,-19.168086258922138
5652,-18.52693527714889
5653,-18.680317853703556
5654,-18.29575444092452
5655,-13.47072188549914
5656,-11.387335877642645
5657,-11.01642216479095
5658,-10.97688948501269
5659,-11.152763175207932
5660,-9.896979112193858
5661,-10.294859603241239
5662,-9.017705289733275
5663,-6.975764502470101
5664,-6.610033376879303
5665,-6.887176270359272
5666,-8.447066974261343
5667,-10.004364169154384
5668,-8.491601575221623
5669,-8.123523994579868
5670,-10.058592548849225
5671,-10.815282239595351
5672,-11.93851347273736
5673,-13.016449974909133
5674,-14.721176334310908
5675,-13.2296704721565
5676,-11.946631551137566
5677,-9.089706511320115
5678,-7.67873762331954
5679,-5.778176721311608
5680,-6.3635422122320815
5681,-6.259040075438646
5682,-7.003309419009686
5683,-7.024406163134143
5684,-7.078141822181872
5685,-7.227267506089978
5686,-7.093487716001425
5687,-6.947500696694512
5688,-5.8433719991064255
5689,-1.9825142657754646
5690,0.26042554401565654
5691,1.4827062939509283
5692,-1.495287582409848
5693,-3.2684576498806863
5694,-3.644925974750259
5695,-4.051329038579337
5696,-4.9116522436322825
5697,-5.988196010535544
5698,-5.868778537470415
5699,-4.563719219389987
5700,-5.113671750950623
5701,-4.924549447009375
5702,-5.033747993822846
5703,-4.406686196118891
5704,-3.641570270923048
5705,-3.1624347144359977
5706,-1.0053321568875178
5707,-1.5947696770064306
5708,0.6507735357349833
5709,1.1272928810481706
5710,1.4303694820067883
5711,0.8244186499876657
5712,-0.604009364487897
5713,-3.624745163055498
5714,-4.108320755301055
5715,-5.440131514839342
5716,-8.114452969201825
5717,-10.56127065265197
5718,-10.316505716795513
5719,-10.80225257731435
5720,-10.867723638479214
5721,-12.552834189523141
5722,-11.894326405933532
5723,-10.552857022487263
5724,-10.702984706374961
5725,-10.709158190795872
5726,-8.126623599230069
5727,-7.449074493501068
5728,-9.450686398559416
5729,-10.12199737640989
5730,-10.546481468979701
5731,-9.3084998642958
5732,-10.423621192953306
5733,-7.897154398884586
5734,-6.806931091174436
5735,-6.067442450062176
5736,-4.623690810783665
5737,-3.2835457535054475
5738,-4.207293619400707
5739,-4.579795152036598
5740,-5.701551889480422
5741,-7.601874070667906
5742,-8.279815197280488
5743,-8.957882300976499
5744,-9.513132417367945
5745,-10.404206005440965
5746,-10.69191697579408
5747,-9.769639484593938
5748,-5.950065993978504
5749,-5.8523328809452515
5750,-5.919649881287416
5751,-5.40192345037593
5752,-2.8083436619991646
5753,0.9762802912302746
5754,1.4140833867205553
5755,2.5633045915274693
5756,3.8911069586627667
5757,3.33524495871513
5758,3.985997565233864
5759,4.535043675467296
5760,5.960172619437534
5761,6.065253183013619
5762,4.864760771822396
5763,5.701684680268981
5764,4.0677133635451055
5765,2.995412131785446
5766,1.0091005840537575
5767,0.961462619783644
5768,-0.249992055991765
5769,1.96826235331216
5770,2.2747278322405453
5771,-1.0223532902297021
5772,0.2635007900498893
5773,-0.3756412910394235
5774,-0.2150361319220048
5775,-1.9955702052163986
5776,1.7184280595096673
5777,2.2753784482666823
5778,2.9600609280225436
5779,4.195587422325375
5780,6.562990318026246
5781,6.661922493763399
5782,6.366619985394656
5783,6.419351022042416
5784,5.384149078400535
5785,6.141352706822111
5786,7.033869057595015
5787,5.5630502517894245
5788,3.6273819940643883
5789,3.5176949872390244
5790,2.9025848267052923
5791,4.134151543961724
5792,3.494662869740506
5793,2.145316527462448
5794,0.5804395525892472
5795,0.496322664631444
5796,1.0315761428920072
5797,1.4285009264640975
5798,0.6905487277667111
5799,0.9331494717939008
5800,1.9809997258911707
5801,1.4437747638971024
5802,2.528653913656293
5803,2.819060185995348
5804,2.7590026913163492
5805,3.268329146302024
5806,5.438399209280144
5807,7.275941948461759
5808,7.122576534744793
5809,6.2112681267878465
5810,2.681240583366368
5811,1.3814561847903428
5812,0.7638974382703995
5813,-1.262204143749827
5814,-2.4086214539566813
5815,-3.794523330189935
5816,-4.852385096438761
5817,-4.999932431079927
5818,-5.572681599490856
5819,-5.738760181883098
5820,-4.984470446964552
5821,-5.194378934598417
5822,-3.8224352924510505
5823,-4.753377263864405
5824,-4.721030660403821
5825,-3.949543535285604
5826,-3.3120892654915104
5827,-1.2381084724587605
5828,0.8977101966911736
5829,0.8604189440769975
5830,0.43923143465223446
5831,0.933453489872105
5832,0.6842971202673228
5833,1.1663010966527507
5834,-0.5184347929320157
5835,-1.7789410167516686
5836,-2.560835359834701
5837,-2.57591272593121
5838,-3.8208862793992395
5839,-5.80074430272842
5840,-6.31142149132334
5841,-7.34046989045483
5842,-10.225986199580744
5843,-9.872920170926013
5844,-7.105484692437261
5845,-7.2283647668032245
5846,-6.619711822573687
5847,-6.9976993203294935
5848,-5.691329413070282
5849,-5.554711389843834
5850,-3.782783179333806
5851,-1.9086817158685925
5852,0.07905973382742908
5853,-1.0021815490043235
5854,-0.5901707742220265
5855,0.01535236732832711
5856,-1.242648099874038
5857,-0.2429340950042056
5858,-1.7149595045451167
5859,-4.719107873871636
5860,-7.457796466806407
5861,-8.658634745727994
5862,-8.287028048019353
